FID IID location
F0 I0 1
F1 I1 2
F2 I2 3
F3 I3 4
F4 I4 5
F5 I5 6
F6 I6 7
F7 I7 8
F8 I8 9
F9 I9 10
F10 I10 11
F11 I11 12
F12 I12 13
F13 I13 14
F14 I14 15
F15 I15 16
F16 I16 17
F17 I17 18
F18 I18 19
F19 I19 20
F20 I20 21
F21 I21 22
F22 I22 23
F23 I23 24
F24 I24 25
F25 I25 26
F26 I26 27
F27 I27 28
F28 I28 29
F29 I29 30
F30 I30 31
F31 I31 32
F32 I32 33
F33 I33 34
F34 I34 35
F35 I35 36
F36 I36 37
F37 I37 38
F38 I38 39
F39 I39 40
F40 I40 41
F41 I41 42
F42 I42 43
F43 I43 44
F44 I44 45
F45 I45 46
F46 I46 47
F47 I47 48
F48 I48 49
F49 I49 50
F50 I50 51
F51 I51 52
F52 I52 53
F53 I53 54
F54 I54 55
F55 I55 56
F56 I56 57
F57 I57 58
F58 I58 59
F59 I59 60
F60 I60 61
F61 I61 62
F62 I62 63
F63 I63 64
F64 I64 65
F65 I65 66
F66 I66 67
F67 I67 68
F68 I68 69
F69 I69 70
F70 I70 71
F71 I71 72
F72 I72 73
F73 I73 74
F74 I74 75
F75 I75 76
F76 I76 77
F77 I77 78
F78 I78 79
F79 I79 80
F80 I80 58
F81 I81 5
F82 I82 45
F83 I83 62
F84 I84 71
F85 I85 50
F86 I86 46
F87 I87 14
F88 I88 65
F89 I89 52
F90 I90 47
F91 I91 60
F92 I92 60
F93 I93 60
F94 I94 11
F95 I95 38
F96 I96 63
F97 I97 37
F98 I98 25
F99 I99 69
F100 I100 21
F101 I101 34
F102 I102 36
F103 I103 33
F104 I104 80
F105 I105 31
F106 I106 61
F107 I107 28
F108 I108 57
F109 I109 51
F110 I110 28
F111 I111 58
F112 I112 37
F113 I113 27
F114 I114 59
F115 I115 26
F116 I116 27
F117 I117 4
F118 I118 9
F119 I119 61
F120 I120 21
F121 I121 14
F122 I122 1
F123 I123 40
F124 I124 27
F125 I125 3
F126 I126 20
F127 I127 24
F128 I128 74
F129 I129 61
F130 I130 42
F131 I131 63
F132 I132 29
F133 I133 11
F134 I134 9
F135 I135 40
F136 I136 14
F137 I137 32
F138 I138 69
F139 I139 24
F140 I140 74
F141 I141 80
F142 I142 23
F143 I143 79
F144 I144 33
F145 I145 38
F146 I146 36
F147 I147 16
F148 I148 1
F149 I149 6
F150 I150 38
F151 I151 37
F152 I152 69
F153 I153 53
F154 I154 69
F155 I155 76
F156 I156 63
F157 I157 24
F158 I158 27
F159 I159 34
F160 I160 78
F161 I161 75
F162 I162 69
F163 I163 6
F164 I164 58
F165 I165 14
F166 I166 76
F167 I167 36
F168 I168 72
F169 I169 46
F170 I170 31
F171 I171 74
F172 I172 16
F173 I173 49
F174 I174 3
F175 I175 53
F176 I176 57
F177 I177 45
F178 I178 11
F179 I179 59
F180 I180 21
F181 I181 51
F182 I182 79
F183 I183 44
F184 I184 33
F185 I185 8
F186 I186 12
F187 I187 51
F188 I188 54
F189 I189 45
F190 I190 20
F191 I191 19
F192 I192 24
F193 I193 2
F194 I194 76
F195 I195 49
F196 I196 22
F197 I197 47
F198 I198 73
F199 I199 61
F200 I200 61
F201 I201 8
F202 I202 50
F203 I203 68
F204 I204 47
F205 I205 48
F206 I206 18
F207 I207 19
F208 I208 61
F209 I209 55
F210 I210 6
F211 I211 46
F212 I212 57
F213 I213 54
F214 I214 3
F215 I215 43
F216 I216 51
F217 I217 35
F218 I218 53
F219 I219 28
F220 I220 17
F221 I221 62
F222 I222 64
F223 I223 55
F224 I224 27
F225 I225 16
F226 I226 67
F227 I227 69
F228 I228 34
F229 I229 69
F230 I230 46
F231 I231 68
F232 I232 64
F233 I233 16
F234 I234 61
F235 I235 71
F236 I236 60
F237 I237 73
F238 I238 67
F239 I239 45
F240 I240 13
F241 I241 52
F242 I242 48
F243 I243 70
F244 I244 75
F245 I245 4
F246 I246 77
F247 I247 63
F248 I248 63
F249 I249 33
F250 I250 69
F251 I251 35
F252 I252 26
F253 I253 74
F254 I254 38
F255 I255 43
F256 I256 19
F257 I257 74
F258 I258 56
F259 I259 67
F260 I260 54
F261 I261 3
F262 I262 49
F263 I263 35
F264 I264 68
F265 I265 36
F266 I266 10
F267 I267 24
F268 I268 37
F269 I269 53
F270 I270 44
